Query_number,doc_number
1090086,351223
1090086,88358
1090086,26523
1090086,252657
1090086,438770
1090086,210454
1090077,346035
1090077,80063
1090077,104232
1090077,174897
1090077,458137
1090077,20742
1090077,253847
1090077,66628
1090077,183651
1090077,256957
1090072,426565
1090072,488774
1090072,86163
1090072,448808
1090072,257496
1090072,367097
1090072,341598
1090072,382949
1090072,309734
1090072,362081
1090054,239757
1090054,60319
1090054,439133
1090054,499363
1090054,471833
1090054,411161
1090054,10814
1090054,348943
1090054,287842
1090054,202160
1101259,415751
1101259,64102
1101259,43980
1101259,444082
1101259,27285
1101259,422101
1101259,194524
1101259,267723
1101259,111940
1101259,362013
1089983,366054
1089983,291617
1089983,239045
1089983,260494
1089983,121486
1089983,107832
1089983,429344
1089983,160329
1089983,393184
1089983,450052
1089966,461484
1089966,268275
1089966,277404
1089966,142939
1089966,445994
1089966,357284
1089966,360359
1089966,115790
1089966,454583
1089966,358240
1089964,289109
1089964,402495
1089964,230760
1089964,102367
1089964,317031
1089964,148357
1089964,152399
1089964,276177
1089964,307306
1089964,142739
1089940,115695
1089940,291801
1089940,474619
1089940,162154
1089940,406319
1089940,172434
1089940,235761
1089940,264606
1089940,328574
1089940,429834
1089925,469643
1089925,4036
1089925,81746
1089925,246212
1089925,6079
1089925,159705
1089925,215158
1089925,21931
1089925,283269
1089925,495048
1089896,141456
1089896,429946
1089896,300229
1089896,178012
1089896,484280
1089896,300368
1089896,284121
1089896,243785
1089896,205732
1089896,333060
1101236,462141
1101236,291255
1101236,442823
1101236,345326
1101236,240186
1101236,115980
1101236,268290
1101236,79872
1101236,88919
1101236,199710
1089868,82638
1089868,232862
1089868,454889
1089868,203689
1089868,251388
1089868,457341
1089868,80948
1089868,254047
1089868,464551
1089868,176595
1089846,162618
1089846,392393
1089846,434717
1089846,402533
1089846,96113
1089846,423452
1089846,194715
1089846,441177
1089846,501598
1089846,35231
1089832,164367
1089832,479730
1089832,142952
1089832,26751
1089832,203075
1089832,106738
1089832,180860
1089832,393192
1089832,495007
1089832,15003
1089810,282593
1089810,16866
1089810,56909
1089810,388201
1089810,59776
1089810,452131
1089810,306037
1089810,305412
1089810,67068
1089810,319391
1101228,412438
1101228,46229
1101228,279380
1101228,452817
1101228,70114
1101228,386631
1101228,370897
1101228,134528
1101228,109292
1101228,261208
1089804,251315
1089804,196480
1089804,300197
1089804,171617
1089804,346373
1089804,253195
1089804,389243
1089804,915
1089804,495676
1089804,72495
1089787,209495
1089787,191505
1089787,312782
1089787,130111
1089787,498491
1089787,275283
1089787,104308
1089787,403617
1089787,75483
1089787,198836
1089776,193434
1089776,162976
1089776,112066
1089776,169076
1089776,445621
1089776,474303
1089776,213402
1089776,267841
1089776,361723
1089776,348980
1089763,249144
1089763,245575
1089763,81746
1089763,479513
1089763,480258
1089763,252210
1089763,74894
1089763,301319
1089763,5810
1089763,16912
1089760,310958
1089760,33780
1089760,249519
1089760,476510
1089760,335736
1089760,183689
1089760,263251
1089760,374976
1089760,134222
1089760,68734
1089719,286080
1089719,12695
1089719,251202
1089719,394586
1089719,468959
1089719,10683
1089719,471871
1089719,10710
1089719,254923
1089719,340952
1089706,310855
1089706,299328
1089706,269035
1089706,389360
1089706,489531
1089706,362535
1089706,29386
1089706,184178
1089706,174536
1089706,81230
1089693,470238
1089693,33167
1089693,192101
1089693,310037
1089693,42792
1089693,419931
1089693,15711
1089693,51739
1089693,240280
1089693,297773
1089691,487776
1089691,150542
1089691,292576
1089691,296927
1089691,407653
1089691,310495
1089691,284739
1089691,182030
1089691,378026
1089691,442135
1089688,353229
1089688,91838
1089688,357109
1089688,331395
1089688,113990
1089688,90322
1089688,13980
1089688,345525
1089688,289984
1089688,297253
1089683,459137
1089683,7774
1089683,429973
1089683,473306
1089683,324438
1089683,175721
1089683,30461
1089683,499363
1089683,76268
1089683,90755
1089674,458192
1089674,191741
1089674,35523
1089674,317010
1089674,495431
1089674,14948
1089674,267348
1089674,30107
1089674,129613
1089674,275789
1101214,373682
1101214,78596
1101214,90550
1101214,468082
1101214,393030
1101214,277225
1101214,489096
1101214,176349
1101214,367673
1101214,199777
1089645,212813
1089645,228212
1089645,404018
1089645,457827
1089645,351522
1089645,480801
1089645,34666
1089645,296429
1089645,44678
1089645,150671
1101211,158268
1101211,192154
1101211,300342
1101211,348487
1101211,230957
1101211,17861
1101211,82696
1101211,369581
1101211,161528
1101211,268346
1089619,449835
1089619,203810
1089619,227238
1089619,38130
1089619,150201
1089619,378557
1089619,67934
1089619,488722
1089619,380913
1089619,262795
1089597,350656
1089597,322855
1089597,87329
1089597,285129
1089597,160588
1089597,353712
1089597,70295
1089597,369107
1089597,361578
1089597,153602
1089576,216008
1089576,291786
1089576,418314
1089576,425624
1089576,332943
1089576,73245
1089576,123542
1089576,148412
1089576,397082
1089576,435558
1089560,107061
1089560,111322
1089560,195786
1089560,285013
1089560,263300
1089560,108260
1089560,237746
1089560,497232
1089560,45120
1089560,97938
1089541,117728
1089541,191445
1089541,398539
1089541,358371
1089541,370373
1089541,460865
1089541,97171
1089541,350515
1089541,114033
1089541,279679
1089511,118899
1089511,40504
1089511,166238
1089511,167164
1089511,51955
1089511,61866
1089511,382867
1089511,240613
1089511,151708
1089511,420263
1089501,166037
1089501,222251
1089501,59140
1089501,102857
1089501,248627
1089501,406423
1089501,238124
1089501,237661
1089501,403293
1089501,154875
1089469,162725
1089469,490602
1089469,242185
1089469,175609
1089469,257402
1089469,244231
1089469,24332
1089469,35243
1089469,396364
1089469,168384
1089443,212051
1089443,204611
1089443,222565
1089443,447721
1089443,439542
1089443,488768
1089443,390606
1089443,248763
1089443,484632
1089443,323013
1089438,21321
1089438,300746
1089438,444539
1089438,219841
1089438,402880
1089438,447326
1089438,373817
1089438,267865
1089438,58392
1089438,380252
1089434,232802
1089434,466759
1089434,445381
1089434,18461
1089434,96939
1089434,367832
1089434,264317
1089434,434942
1089434,311188
1089434,391188
1089414,386348
1089414,175252
1089414,151097
1089414,88981
1089414,8994
1089414,430047
1089414,21658
1089414,495717
1089414,39105
1089414,252310
1089408,447982
1089408,457109
1089408,326455
1089408,65264
1089408,6851
1089408,483906
1089408,245861
1089408,170740
1089408,165247
1089408,343880
1089401,440320
1089401,389471
1089401,39903
1089401,104721
1089401,187085
1089401,116741
1089401,48582
1089401,332984
1089401,196527
1089401,327096
1089355,447721
1089355,81174
1089355,301204
1089355,128933
1089355,248763
1089355,222045
1089355,25203
1089355,19128
1089355,390606
1089355,157540
1089325,455513
1089325,307913
1089325,276579
1089325,149268
1089325,286268
1089325,196101
1089325,177227
1089325,114741
1089325,442866
1089325,335360
1089312,50422
1089312,217824
1089312,166820
1089312,465792
1089312,40034
1089312,167309
1089312,395162
1089312,167452
1089312,461263
1089312,300027
1089293,54677
1089293,194920
1089293,391340
1089293,62888
1089293,271179
1089293,431317
1089293,214927
1089293,140751
1089293,123105
1089293,60679
1089286,75035
1089286,83570
1089286,123698
1089286,140152
1089286,481487
1089286,109781
1089286,497607
1089286,254113
1089286,175958
1089286,77093
1089273,151696
1089273,247639
1089273,122742
1089273,131380
1089273,12456
1089273,235422
1089273,445316
1089273,441987
1089273,175310
1089273,391642
1101173,9180
1101173,187416
1101173,365669
1101173,310745
1101173,371412
1101173,359497
1101173,414473
1101173,220587
1101173,435364
1101173,229527
1101172,338817
1101172,114564
1101172,290542
1101172,418983
1101172,275236
1101172,440090
1101172,118911
1101172,109599
1101172,271213
1101172,414074
1101171,426109
1101171,294089
1101171,355508
1101171,305537
1101171,291137
1101171,455646
1101171,139902
1101171,371875
1101171,465724
1101171,302606
1089177,290898
1089177,256614
1089177,107944
1089177,162581
1089177,198963
1089177,96927
1089177,350815
1089177,412851
1089177,78101
1089177,231438
1089167,406125
1089167,66886
1089167,200126
1089167,251309
1089167,34744
1089167,431414
1089167,385033
1089167,24175
1089167,72273
1089167,41256
1089158,495427
1089158,95775
1089158,61122
1089158,93719
1089158,336162
1089158,460936
1089158,58064
1089158,287824
1089158,351288
1089158,36145
1089156,490702
1089156,333270
1089156,448953
1089156,458388
1089156,307562
1089156,402995
1089156,141150
1089156,346332
1089156,455563
1089156,56934
1089143,459798
1089143,370241
1089143,93130
1089143,313341
1089143,340045
1089143,311889
1089143,364025
1089143,492026
1089143,108694
1089143,497711
1089121,40203
1089121,329076
1089121,144017
1089121,467695
1089121,355310
1089121,56070
1089121,384186
1089121,352365
1089121,464112
1089121,255310
1089093,127232
1089093,241504
1089093,222018
1089093,202803
1089093,419901
1089093,404846
1089093,160938
1089093,355131
1089093,318495
1089093,460191
1089085,408240
1089085,170973
1089085,235309
1089085,119260
1089085,229499
1089085,93313
1089085,103270
1089085,34744
1089085,340896
1089085,237211
1089071,58779
1089071,36346
1089071,419700
1089071,154286
1089071,476602
1089071,10490
1089071,440321
1089071,163893
1089071,372775
1089071,290962
1089051,196710
1089051,188047
1089051,122904
1089051,193723
1089051,305667
1089051,347620
1089051,51931
1089051,81461
1089051,448473
1089051,448505
1089044,299476
1089044,306656
1089044,329692
1089044,311525
1089044,187593
1089044,381385
1089044,89848
1089044,402164
1089044,396028
1089044,113480
1089043,392567
1089043,92221
1089043,192217
1089043,275183
1089043,429473
1089043,389071
1089043,353073
1089043,140099
1089043,232179
1089043,354171
1089036,297800
1089036,382889
1089036,103203
1089036,186686
1089036,179338
1089036,263679
1089036,479762
1089036,139803
1089036,180635
1089036,86949
1089027,414847
1089027,4291
1089027,6742
1089027,11567
1089027,923
1089027,398345
1089027,492568
1089027,189621
1089027,257914
1089027,300244
1089026,81045
1089026,489199
1089026,463986
1089026,35739
1089026,36342
1089026,349291
1089026,282989
1089026,342173
1089026,256927
1089026,330235
1089022,286943
1089022,352962
1089022,148665
1089022,22023
1089022,188773
1089022,391691
1089022,155346
1089022,114894
1089022,272975
1089022,247171
1089021,213850
1089021,50382
1089021,400600
1089021,481424
1089021,76494
1089021,149366
1089021,86691
1089021,170311
1089021,283363
1089021,439583
1089002,23715
1089002,307481
1089002,170777
1089002,85492
1089002,7106
1089002,312317
1089002,64714
1089002,139081
1089002,301367
1089002,493024
1089001,423534
1089001,244880
1089001,17982
1089001,492109
1089001,13813
1089001,257612
1089001,42701
1089001,285221
1089001,91517
1089001,25301
1088993,53465
1088993,36489
1088993,416282
1088993,174921
1088993,356580
1088993,379125
1088993,436926
1088993,183287
1088993,252707
1088993,438221
1088987,286341
1088987,477845
1088987,474764
1088987,413442
1088987,311264
1088987,254329
1088987,88461
1088987,220035
1088987,431670
1088987,307949
1088973,393134
1088973,13752
1088973,104322
1088973,2526
1088973,490083
1088973,354689
1088973,71947
1088973,262806
1088973,163879
1088973,406704
1088960,131748
1088960,405925
1088960,377363
1088960,46219
1088960,415454
1088960,420170
1088960,443679
1088960,99560
1088960,446586
1088960,108935
1088958,91990
1088958,455173
1088958,288953
1088958,264973
1088958,155351
1088958,90044
1088958,150931
1088958,366315
1088958,201927
1088958,404668
1088947,52220
1088947,418053
1088947,341729
1088947,418120
1088947,445997
1088947,396964
1088947,280773
1088947,317886
1088947,350237
1088947,422622
1088938,94019
1088938,224045
1088938,479252
1088938,247008
1088938,121567
1088938,304131
1088938,422622
1088938,44597
1088938,229961
1088938,387589
1088928,174900
1088928,355648
1088928,73337
1088928,329172
1088928,179268
1088928,415966
1088928,396833
1088928,100826
1088928,468922
1088928,471632
1088903,212798
1088903,408880
1088903,218762
1088903,389774
1088903,90627
1088903,254746
1088903,427287
1088903,354082
1088903,404499
1088903,476843
1088889,283312
1088889,398081
1088889,230629
1088889,409976
1088889,212905
1088889,4064
1088889,331692
1088889,484373
1088889,190511
1088889,103733
1088884,280882
1088884,65563
1088884,354957
1088884,200648
1088884,17287
1088884,495700
1088884,421627
1088884,369886
1088884,14356
1088884,77133
1088869,264192
1088869,68985
1088869,179432
1088869,100076
1088869,456915
1088869,351468
1088869,382386
1088869,433095
1088869,211797
1088869,217733
1088856,324007
1088856,140614
1088856,460153
1088856,76127
1088856,213247
1088856,52281
1088856,258364
1088856,466478
1088856,54531
1088856,17407
1088845,335504
1088845,416544
1088845,79484
1088845,380879
1088845,42883
1088845,343583
1088845,391603
1088845,318498
1088845,54565
1088845,206391
1088832,204900
1088832,35875
1088832,92712
1088832,468238
1088832,421073
1088832,174186
1088832,107222
1088832,431376
1088832,478733
1088832,425281
1088800,227662
1088800,456738
1088800,111904
1088800,342198
1088800,340221
1088800,162149
1088800,231871
1088800,117561
1088800,55485
1088800,288331
1101131,214959
1101131,291555
1101131,39689
1101131,362228
1101131,62181
1101131,81021
1101131,234541
1101131,364411
1101131,192722
1101131,475535
1102300,152035
1102300,185717
1102300,201796
1102300,442215
1102300,175164
1102300,52894
1102300,166223
1102300,209322
1102300,247076
1102300,69593
1088758,199471
1088758,454922
1088758,259973
1088758,22484
1088758,370795
1088758,200843
1088758,155020
1088758,376490
1088758,478920
1088758,258251
1088734,414414
1088734,374842
1088734,295641
1088734,270370
1088734,431501
1088734,350976
1088734,188099
1088734,313112
1088734,385642
1088734,173645
1088718,446183
1088718,423465
1088718,245689
1088718,494610
1088718,79268
1088718,16857
1088718,41505
1088718,276736
1088718,485526
1088718,276905
1088693,1720
1088693,232428
1088693,427117
1088693,332517
1088693,404619
1088693,254950
1088693,209564
1088693,442307
1088693,350865
1088693,136517
1101121,3243
1101121,390881
1101121,216172
1101121,198702
1101121,105266
1101121,352165
1101121,7431
1101121,272219
1101121,225274
1101121,479527
1088685,446183
1088685,423465
1088685,245689
1088685,16857
1088685,276736
1088685,494610
1088685,485526
1088685,35483
1088685,41505
1088685,182301
1088628,353432
1088628,356204
1088628,458095
1088628,110945
1088628,358555
1088628,126363
1088628,479828
1088628,392603
1088628,99924
1088628,168019
1088606,443637
1088606,5752
1088606,486328
1088606,287568
1088606,168982
1088606,434936
1088606,231818
1088606,374512
1088606,141065
1088606,302178
1088541,401809
1088541,306305
1088541,2613
1088541,97201
1088541,432020
1088541,72877
1088541,209450
1088541,334728
1088541,295396
1088541,82447
1088539,402242
1088539,438941
1088539,99924
1088539,324149
1088539,358555
1088539,480182
1088539,392603
1088539,414929
1088539,499825
1088539,168019
1088475,327979
1088475,385015
1088475,41478
1088475,169407
1088475,454946
1088475,122710
1088475,267939
1088475,448418
1088475,437655
1088475,233321
1088453,3277
1088453,160219
1088453,78891
1088453,398119
1088453,313293
1088453,363410
1088453,302601
1088453,181877
1088453,147996
1088453,68676
1101090,78339
1101090,371743
1101090,119260
1101090,41990
1101090,294984
1101090,160473
1101090,353559
1101090,219521
1101090,262738
1101090,227150
1088437,302858
1088437,266854
1088437,356077
1088437,446329
1088437,259449
1088437,342075
1088437,273224
1088437,346132
1088437,235117
1088437,247688
1101088,420270
1101088,221242
1101088,52967
1101088,202213
1101088,426020
1101088,342328
1101088,242886
1101088,327726
1101088,410745
1101088,467408
1088379,390539
1088379,179255
1088379,312369
1088379,53934
1088379,492686
1088379,50767
1088379,377536
1088379,214001
1088379,286880
1088379,8233
1088358,112770
1088358,6302
1088358,302906
1088358,40684
1088358,464748
1088358,400216
1088358,498988
1088358,459568
1088358,162589
1088358,5674
1088349,348287
1088349,439211
1088349,288489
1088349,93341
1088349,191435
1088349,157395
1088349,439204
1088349,141905
1088349,444436
1088349,366456
1088302,448418
1088302,497662
1088302,29031
1088302,410413
1088302,275334
1088302,171914
1088302,499362
1088302,365429
1088302,133824
1088302,146649
1088164,90303
1088164,53249
1088164,380579
1088164,467434
1088164,483921
1088164,236119
1088164,276905
1088164,439211
1088164,88866
1088164,307770
1088153,345664
1088153,385015
1088153,169407
1088153,334744
1088153,327979
1088153,182301
1088153,453066
1088153,494610
1088153,76057
1088153,461221
1088138,270086
1088138,291825
1088138,101560
1088138,131099
1088138,497902
1088138,190147
1088138,111189
1088138,336061
1088138,178875
1088138,310459
1088043,180249
1088043,403087
1088043,344523
1088043,347389
1088043,444747
1088043,268894
1088043,89297
1088043,342522
1088043,63924
1088043,232972
1087999,222362
1087999,337219
1087999,478677
1087999,9401
1087999,395428
1087999,50774
1087999,459207
1087999,383921
1087999,494270
1087999,306500
1087959,190640
1087959,172954
1087959,337993
1087959,171731
1087959,344745
1087959,84871
1087959,87892
1087959,32762
1087959,400391
1087959,398752
1101048,253589
1101048,147309
1101048,305341
1101048,242802
1101048,39518
1101048,481040
1101048,94204
1101048,163545
1101048,421697
1101048,120176
1087915,346584
1087915,61537
1087915,486339
1087915,253789
1087915,428683
1087915,144940
1087915,422901
1087915,334955
1087915,341985
1087915,43346
1087911,176916
1087911,103423
1087911,388600
1087911,194548
1087911,27516
1087911,131038
1087911,361300
1087911,236859
1087911,353689
1087911,358673
1087869,452513
1087869,37176
1087869,30470
1087869,200834
1087869,319570
1087869,432342
1087869,248869
1087869,319042
1087869,346726
1087869,430448
1087858,423541
1087858,424342
1087858,63802
1087858,117950
1087858,334466
1087858,143018
1087858,385642
1087858,404771
1087858,308030
1087858,357718
1087848,365202
1087848,237297
1087848,172317
1087848,247683
1087848,81822
1087848,83069
1087848,340989
1087848,424954
1087848,310845
1087848,299920
1087803,139175
1087803,342772
1087803,358728
1087803,149307
1087803,157012
1087803,225128
1087803,188478
1087803,349016
1087803,402222
1087803,448533
1087795,154895
1087795,9842
1087795,393785
1087795,321431
1087795,313021
1087795,49449
1087795,369103
1087795,360504
1087795,422541
1087795,214662
1087774,204452
1087774,77564
1087774,89942
1087774,100117
1087774,222943
1087774,108189
1087774,79679
1087774,292843
1087774,135608
1087774,280433
1087766,78224
1087766,296998
1087766,71052
1087766,382840
1087766,431754
1087766,395791
1087766,66018
1087766,143914
1087766,290611
1087766,155750
1087736,298622
1087736,380340
1087736,77675
1087736,482804
1087736,265754
1087736,453331
1087736,312750
1087736,42812
1087736,448415
1087736,345849
1087729,6905
1087729,192407
1087729,168625
1087729,76563
1087729,300710
1087729,14331
1087729,439990
1087729,481467
1087729,171106
1087729,415638
1087727,215044
1087727,463755
1087727,49244
1087727,349821
1087727,454854
1087727,107728
1087727,440664
1087727,177624
1087727,124456
1087727,362524
1087722,241966
1087722,460659
1087722,154182
1087722,422921
1087722,333785
1087722,79110
1087722,203302
1087722,344519
1087722,372339
1087722,52789
1087687,141349
1087687,243141
1087687,125593
1087687,55258
1087687,401535
1087687,346786
1087687,373690
1087687,135149
1087687,202192
1087687,34228
1087680,490049
1087680,246983
1087680,68801
1087680,462078
1087680,77060
1087680,485648
1087680,202172
1087680,261898
1087680,420784
1087680,208068
1087675,187989
1087675,287194
1087675,403304
1087675,261900
1087675,164633
1087675,290321
1087675,429757
1087675,169521
1087675,41873
1087675,155830
1087634,172106
1087634,386421
1087634,170007
1087634,395831
1087634,314597
1087634,310997
1087634,65728
1087634,393338
1087634,414343
1087634,393308
1101018,397435
1101018,401611
1101018,332928
1101018,316979
1101018,124051
1101018,223923
1101018,292517
1101018,49478
1101018,330229
1101018,305938
1087589,185280
1087589,181227
1087589,159015
1087589,155658
1087589,175672
1087589,289431
1087589,200101
1087589,101135
1087589,259322
1087589,299160
1087581,7056
1087581,468536
1087581,139570
1087581,53843
1087581,350480
1087581,201753
1087581,111943
1087581,64422
1087581,453866
1087581,306769
1087566,35653
1087566,428620
1087566,282481
1087566,393660
1087566,496324
1087566,477561
1087566,75351
1087566,196240
1087566,392877
1087566,101698
1087556,134718
1087556,63305
1087556,208551
1087556,433429
1087556,193245
1087556,103705
1087556,124670
1087556,438724
1087556,79538
1087556,114986
1087532,421467
1087532,164600
1087532,432427
1087532,78008
1087532,414351
1087532,419949
1087532,107453
1087532,290238
1087532,329793
1087532,407628
1087514,376065
1087514,70331
1087514,6557
1087514,388380
1087514,240184
1087514,82233
1087514,309
1087514,329498
1087514,440313
1087514,431873
1087492,479172
1087492,21436
1087492,208710
1087492,208859
1087492,348799
1087492,295858
1087492,466268
1087492,300865
1087492,374357
1087492,339588
1087487,274993
1087487,181107
1087487,7315
1087487,163326
1087487,405160
1087487,442467
1087487,269538
1087487,173234
1087487,423423
1087487,251040
1087486,166919
1087486,438988
1087486,131553
1087486,500981
1087486,405160
1087486,501098
1087486,7315
1087486,449952
1087486,158365
1087486,141785
1087484,425591
1087484,367346
1087484,88781
1087484,132118
1087484,217286
1087484,307386
1087484,117925
1087484,224014
1087484,150529
1087484,213442
1087425,251940
1087425,79146
1087425,441333
1087425,467247
1087425,26403
1087425,262048
1087425,30605
1087425,144368
1087425,151065
1087425,112100
1087375,7274
1087375,383109
1087375,147251
1087375,66888
1087375,179020
1087375,136884
1087375,417475
1087375,352829
1087375,275788
1087375,151747
1087361,36418
1087361,229395
1087361,183616
1087361,82061
1087361,216047
1087361,138579
1087361,287645
1087361,10317
1087361,435510
1087361,436659
1087351,80722
1087351,193326
1087351,279158
1087351,363443
1087351,132203
1087351,280258
1087351,40680
1087351,113156
1087351,238688
1087351,253612
1087327,391585
1087327,124526
1087327,277904
